Gruppenart_XML;Gruppenname_kurz;Gruppenname_lang
PARTEI;CDU;
PARTEI;SPD;
PARTEI;DIE LINKE;
PARTEI;GRÜNE;
PARTEI;CSU;
PARTEI;FDP;
PARTEI;AfD;
PARTEI;PIRATEN;
PARTEI;HEIMAT (2021: NPD);
PARTEI;FREIE WÄHLER;
PARTEI;Tierschutzpartei;
PARTEI;ÖDP;
PARTEI;Die PARTEI;
PARTEI;BP;
PARTEI;Volksabstimmung;
PARTEI;PDV;
PARTEI;MLPD;
PARTEI;BüSo;
PARTEI;SGP;
PARTEI;DIE RECHTE;
PARTEI;AD-DEMOKRATEN;
PARTEI;Tierschutzallianz;
PARTEI;B*;
PARTEI;BGE;
PARTEI;DiB;
PARTEI;DKP;
PARTEI;DM;
PARTEI;Die Grauen;
PARTEI;du.;
PARTEI;MG;
PARTEI;MENSCHLICHE WELT;
PARTEI;Die Humanisten;
PARTEI;Verjüngungsforschung (2021: Gesundheitsforschung);
PARTEI;V-Partei³;
PARTEI;Bündnis C;
PARTEI;DIE EINHEIT;
PARTEI;DIE VIOLETTEN;
PARTEI;FAMILIE;
PARTEI;DIE FRAUEN;
PARTEI;MIETERPARTEI;
PARTEI;Neue Liberale;
PARTEI;UNABHÄNGIGE;
EINZELBEWERBER;Einzelbewerber/Wählergruppe;
EINZELBEWERBER;EB: Krüger-Winands;
EINZELBEWERBER;EB: Stoof;
EINZELBEWERBER;EB: Tschammer-Osten;
EINZELBEWERBER;EB: Vollmer;
EINZELBEWERBER;EB: Hofer;
EINZELBEWERBER;EB: Bultheel;
EINZELBEWERBER;EB: Scheffler;
EINZELBEWERBER;EB: Scharnweber;
EINZELBEWERBER;EB: Giebel;
EINZELBEWERBER;EB: von Pentz;
EINZELBEWERBER;EB: Knoop;
EINZELBEWERBER;EB: Hirsch-Sternberg;
EINZELBEWERBER;EB: Jagau;
EINZELBEWERBER;EB: Salveter;
EINZELBEWERBER;EB: Rosenbaum;
EINZELBEWERBER;EB: Hönig;
EINZELBEWERBER;EB: Borchert;
EINZELBEWERBER;EB: Müller;
EINZELBEWERBER;EB: Meier;
EINZELBEWERBER;EB: Fleischhauer;
EINZELBEWERBER;EB: Weidelt;
EINZELBEWERBER;EB: Renne;
EINZELBEWERBER;EB: Schmidt;
EINZELBEWERBER;EB: Ulbrich;
EINZELBEWERBER;EB: Mauson;
EINZELBEWERBER;EB: Fielsch;
EINZELBEWERBER;EB: Schirm;
