WK_NR,Wahlbeteiligung,WK
1,"75,25",Flensburg – Schleswig
2,"74,61",Nordfriesland – Dithmarschen Nord
3,"74,74",Steinburg – Dithmarschen Süd
4,"78,35",Rendsburg-Eckernförde
5,"74,90",Kiel
6,"75,29",Plön – Neumünster
7,"78,70",Pinneberg
8,"78,16",Segeberg – Stormarn-Mitte
9,"76,27",Ostholstein – Stormarn-Nord
10,"78,93",Herzogtum Lauenburg – Stormarn-Süd
11,"72,10",Lübeck
12,"72,45",Schwerin – Ludwigslust-Parchim I – Nordwestmecklenburg I
13,"71,29",Ludwigslust-Parchim II – Nordwestmecklenburg II – Landkreis Rostock I
14,"73,58",Rostock – Landkreis Rostock II
15,"70,38",Vorpommern-Rügen – Vorpommern-Greifswald I
16,"69,44",Mecklenburgische Seenplatte I – Vorpommern-Greifswald II
17,"68,01",Mecklenburgische Seenplatte II – Landkreis Rostock III
18,"72,16",Hamburg-Mitte
19,"78,57",Hamburg-Altona
20,"81,09",Hamburg-Eimsbüttel
21,"82,29",Hamburg-Nord
22,"73,28",Hamburg-Wandsbek
23,"70,15",Hamburg-Bergedorf – Harburg
24,"74,49",Aurich – Emden
25,"74,96",Unterems
26,"73,49",Friesland – Wilhelmshaven – Wittmund
27,"77,77",Oldenburg – Ammerland
28,"74,75",Delmenhorst – Wesermarsch – Oldenburg-Land
29,"75,52",Cuxhaven – Stade II
30,"77,57",Stade I – Rotenburg II
31,"78,13",Mittelems
32,"74,38",Cloppenburg – Vechta
33,"76,47",Diepholz – Nienburg I
34,"78,03",Osterholz – Verden
35,"75,59",Rotenburg I – Heidekreis
36,"81,29",Harburg
37,"77,96",Lüchow-Dannenberg – Lüneburg
38,"75,98",Osnabrück-Land
39,"77,32",Stadt Osnabrück
40,"75,29",Nienburg II – Schaumburg
41,"74,94",Stadt Hannover I
42,"77,05",Stadt Hannover II
43,"77,99",Hannover-Land I
44,"75,55",Celle – Uelzen
45,"77,26",Gifhorn – Peine
46,"74,60",Hameln-Pyrmont – Holzminden
47,"78,56",Hannover-Land II
48,"77,68",Hildesheim
49,"76,19",Salzgitter – Wolfenbüttel
50,"76,92",Braunschweig
51,"74,64",Helmstedt – Wolfsburg
52,"74,39",Goslar – Northeim – Osterode
53,"77,37",Göttingen
54,"74,48",Bremen I
55,"66,71",Bremen II – Bremerhaven
56,"68,31",Prignitz – Ostprignitz-Ruppin – Havelland I
57,"70,31",Uckermark – Barnim I
58,"76,10",Oberhavel – Havelland II
59,"75,10",Märkisch-Oderland – Barnim II
60,"69,91",Brandenburg an der Havel – Potsdam-Mittelmark I – Havelland III – Teltow-Fläming I
61,"79,13",Potsdam – Potsdam-Mittelmark II – Teltow-Fläming II
62,"75,43",Dahme-Spreewald – Teltow-Fläming III – Oberspreewald-Lausitz I
63,"71,91",Frankfurt (Oder) – Oder-Spree
64,"73,94",Cottbus – Spree-Neiße
65,"73,19",Elbe-Elster – Oberspreewald-Lausitz II
66,"67,14",Altmark
67,"68,17",Börde – Jerichower Land
68,"66,59",Harz
69,"68,43",Magdeburg
70,"69,75",Dessau – Wittenberg
71,"65,93",Anhalt
72,"71,02",Halle
73,"68,47",Burgenland – Saalekreis
74,"67,71",Mansfeld
75,"73,25",Berlin-Mitte
76,"79,51",Berlin-Pankow
77,"75,24",Berlin-Reinickendorf
78,"72,05",Berlin-Spandau – Charlottenburg Nord
79,"81,70",Berlin-Steglitz-Zehlendorf
80,"79,55",Berlin-Charlottenburg-Wilmersdorf
81,"77,01",Berlin-Tempelhof-Schöneberg
82,"70,85",Berlin-Neukölln
83,"77,56",Berlin-Friedrichshain-Kreuzberg – Prenzlauer Berg Ost
84,"76,60",Berlin-Treptow-Köpenick
85,"69,25",Berlin-Marzahn-Hellersdorf
86,"72,63",Berlin-Lichtenberg
87,"78,44",Aachen I
88,"75,86",Aachen II
89,"74,89",Heinsberg
90,"75,92",Düren
91,"76,92",Rhein-Erft-Kreis I
92,"76,11",Euskirchen – Rhein-Erft-Kreis II
93,"72,55",Köln I
94,"82,15",Köln II
95,"73,97",Köln III
96,"79,28",Bonn
97,"77,63",Rhein-Sieg-Kreis I
98,"80,79",Rhein-Sieg-Kreis II
99,"75,13",Oberbergischer Kreis
100,"80,22",Rheinisch-Bergischer Kreis
101,"73,11",Leverkusen – Köln IV
102,"72,05",Wuppertal I
103,"73,60",Solingen – Remscheid – Wuppertal II
104,"78,11",Mettmann I
105,"76,88",Mettmann II
106,"78,34",Düsseldorf I
107,"74,34",Düsseldorf II
108,"74,52",Neuss I
109,"69,28",Mönchengladbach
110,"77,16",Krefeld I – Neuss II
111,"76,19",Viersen
112,"74,77",Kleve
113,"77,39",Wesel I
114,"74,65",Krefeld II – Wesel II
115,"72,40",Duisburg I
116,"64,73",Duisburg II
117,"73,39",Oberhausen – Wesel III
118,"76,09",Mülheim – Essen I
119,"67,58",Essen II
120,"79,48",Essen III
121,"73,23",Recklinghausen I
122,"74,35",Recklinghausen II
123,"68,15",Gelsenkirchen
124,"76,46",Steinfurt I – Borken I
125,"74,88",Bottrop – Recklinghausen III
126,"79,08",Borken II
127,"81,27",Coesfeld – Steinfurt II
128,"78,00",Steinfurt III
129,"82,26",Münster
