Wahlart,Wahltag,Gebietsart,Gebietsnummer,Gebietsname,UegGebietsart,UegGebietsnummer,Gruppenart,Gruppenname,Gruppenreihenfolge,Stimme,Anzahl,Prozent,VorpAnzahl,VorpProzent,DiffProzent,DiffProzentPkt
BT,26.09.2021,Wahlkreis,1,Flensburg – Schleswig,LAND,1,System-Gruppe,Wählende,-3,,180112,"77,790063",171914,"75,245436","4,768663","2,544627"
BT,26.09.2021,Wahlkreis,2,Nordfriesland – Dithmarschen Nord,LAND,1,System-Gruppe,Wählende,-3,,145387,"77,223836",139194,"74,60765","4,449186","2,616187"
BT,26.09.2021,Wahlkreis,3,Steinburg – Dithmarschen Süd,LAND,1,System-Gruppe,Wählende,-3,,136299,"77,049051",132017,"74,739577","3,243522","2,309473"
BT,26.09.2021,Wahlkreis,4,Rendsburg-Eckernförde,LAND,1,System-Gruppe,Wählende,-3,,162060,"80,138063",157354,"78,35145","2,990709","1,786614"
BT,26.09.2021,Wahlkreis,5,Kiel,LAND,1,System-Gruppe,Wählende,-3,,155986,"77,036971",153273,"74,895187","1,770044","2,141784"
BT,26.09.2021,Wahlkreis,6,Plön – Neumünster,LAND,1,System-Gruppe,Wählende,-3,,133721,"76,452192",131713,"75,291676","1,524527","1,160516"
BT,26.09.2021,Wahlkreis,7,Pinneberg,LAND,1,System-Gruppe,Wählende,-3,,191512,"80,336259",187715,"78,69561","2,022747","1,640648"
BT,26.09.2021,Wahlkreis,8,Segeberg – Stormarn-Mitte,LAND,1,System-Gruppe,Wählende,-3,,199618,"80,102888",193280,"78,15735","3,27918","1,945539"
BT,26.09.2021,Wahlkreis,9,Ostholstein – Stormarn-Nord,LAND,1,System-Gruppe,Wählende,-3,,143092,"78,133429",138439,"76,265687","3,361047","1,867743"
BT,26.09.2021,Wahlkreis,10,Herzogtum Lauenburg – Stormarn-Süd,LAND,1,System-Gruppe,Wählende,-3,,196903,"79,951843",193334,"78,934389","1,846028","1,017453"
BT,26.09.2021,Wahlkreis,11,Lübeck,LAND,1,System-Gruppe,Wählende,-3,,131455,"73,277256",130961,"72,100001","0,377212","1,177255"
BT,26.09.2021,Wahlkreis,12,Schwerin – Ludwigslust-Parchim I – Nordwestmecklenburg I,LAND,13,System-Gruppe,Wählende,-3,,156565,"72,870753",157071,"72,449723","-0,322147","0,42103"
BT,26.09.2021,Wahlkreis,13,Ludwigslust-Parchim II – Nordwestmecklenburg II – Landkreis Rostock I,LAND,13,System-Gruppe,Wählende,-3,,146362,"71,381473",146768,"71,289514","-0,276627","0,091959"
BT,26.09.2021,Wahlkreis,14,Rostock – Landkreis Rostock II,LAND,13,System-Gruppe,Wählende,-3,,165329,"74,236771",164016,"73,578481","0,800532","0,658289"
BT,26.09.2021,Wahlkreis,15,Vorpommern-Rügen – Vorpommern-Greifswald I,LAND,13,System-Gruppe,Wählende,-3,,168922,"70,072926",169528,"70,376567","-0,357463","-0,303641"
BT,26.09.2021,Wahlkreis,16,Mecklenburgische Seenplatte I – Vorpommern-Greifswald II,LAND,13,System-Gruppe,Wählende,-3,,154240,"69,659156",156965,"69,441557","-1,736056","0,2176"
BT,26.09.2021,Wahlkreis,17,Mecklenburgische Seenplatte II – Landkreis Rostock III,LAND,13,System-Gruppe,Wählende,-3,,143622,"68,604429",144239,"68,005507","-0,427762","0,598922"
BT,26.09.2021,Wahlkreis,18,Hamburg-Mitte,LAND,2,System-Gruppe,Wählende,-3,,179637,"74,206248",175731,"72,156046","2,222715","2,050201"
BT,26.09.2021,Wahlkreis,19,Hamburg-Altona,LAND,2,System-Gruppe,Wählende,-3,,152720,"81,361711",146090,"78,566665","4,538298","2,795046"
BT,26.09.2021,Wahlkreis,20,Hamburg-Eimsbüttel,LAND,2,System-Gruppe,Wählende,-3,,160970,"83,049999",156013,"81,088259","3,177299","1,96174"
BT,26.09.2021,Wahlkreis,21,Hamburg-Nord,LAND,2,System-Gruppe,Wählende,-3,,185457,"84,33352",178760,"82,292175","3,746364","2,041345"
BT,26.09.2021,Wahlkreis,22,Hamburg-Wandsbek,LAND,2,System-Gruppe,Wählende,-3,,174014,"74,529623",172574,"73,275785","0,834425","1,253838"
BT,26.09.2021,Wahlkreis,23,Hamburg-Bergedorf – Harburg,LAND,2,System-Gruppe,Wählende,-3,,158246,"71,348188",155758,"70,151465","1,59735","1,196723"
BT,26.09.2021,Wahlkreis,24,Aurich – Emden,LAND,3,System-Gruppe,Wählende,-3,,137847,"71,852945",142676,"74,488491","-3,384592","-2,635546"
BT,26.09.2021,Wahlkreis,25,Unterems,LAND,3,System-Gruppe,Wählende,-3,,175826,"73,719739",176342,"74,964503","-0,292613","-1,244765"
BT,26.09.2021,Wahlkreis,26,Friesland – Wilhelmshaven – Wittmund,LAND,3,System-Gruppe,Wählende,-3,,134164,"70,968595",139153,"73,492162","-3,585262","-2,523567"
BT,26.09.2021,Wahlkreis,27,Oldenburg – Ammerland,LAND,3,System-Gruppe,Wählende,-3,,173725,"75,960298",175967,"77,774438","-1,274103","-1,81414"
