Wahlart;Wahltag;Nachname;Vornamen;Geburtsjahr;Kennzeichen;Gebietsart;Gebietsnummer;Gebietsname;Gruppenname;Listenplatz
BT;24.09.2017;Abaga Ayingono;Carlos;1953;Kreiswahlvorschlag;Wahlkreis;129;Münster;EB: Abaga Ayingono;
BT;24.09.2017;Abdinghoff-Feldkemper;Olaf;1964;Landesliste;Land;;Niedersachsen;SPD;33
BT;24.09.2017;Abel;Valentin Christian;1991;Kreiswahlvorschlag;Wahlkreis;268;Schwäbisch Hall – Hohenlohe;FDP;
BT;24.09.2017;Abel;Valentin Christian;1991;Landesliste;Land;;Baden-Württemberg;FDP;23
BT;24.09.2017;Abelmann;Jürgen;1958;Kreiswahlvorschlag;Wahlkreis;033;Diepholz – Nienburg I;DIE LINKE;
BT;24.09.2017;Dr. von Abercron;Michael;1952;Kreiswahlvorschlag;Wahlkreis;007;Pinneberg;CDU;
BT;24.09.2017;Dr. von Abercron;Michael;1952;Landesliste;Land;;Schleswig-Holstein;CDU;10
BT;24.09.2017;Abmayr;Ruth Maria;1968;Kreiswahlvorschlag;Wahlkreis;252;Augsburg-Stadt;FREIE WÄHLER;
BT;24.09.2017;Abmayr;Ruth Maria;1968;Landesliste;Land;;Bayern;FREIE WÄHLER;22
BT;24.09.2017;Achelwilm;Doris Maria;1976;Landesliste;Land;;Bremen;DIE LINKE;1
BT;24.09.2017;Achenbach;Ulrich;1954;Landesliste;Land;;Nordrhein-Westfalen;MLPD;19
BT;24.09.2017;Achilles;Matthias;1991;Kreiswahlvorschlag;Wahlkreis;087;Aachen I;PIRATEN;
BT;24.09.2017;Achtziger;Alina Christiane;1999;Landesliste;Land;;Bayern;Die PARTEI;3
BT;24.09.2017;Acker;Reinmund Adam Johannes;1949;Landesliste;Land;;Bayern;BGE;1
BT;24.09.2017;Dr. Ackermann;Lothar;1953;Kreiswahlvorschlag;Wahlkreis;201;Kreuznach;FDP;
BT;24.09.2017;Dr. Ackermann;Lothar;1953;Landesliste;Land;;Rheinland-Pfalz;FDP;11
BT;24.09.2017;Ackmann;Petra;1966;Landesliste;Land;;Hamburg;SPD;9
BT;24.09.2017;Adamski;Klaus Jürgen;1952;Landesliste;Land;;Hamburg;MLPD;10
BT;24.09.2017;Adamski;Yvonne;1978;Kreiswahlvorschlag;Wahlkreis;121;Recklinghausen I;MLPD;
BT;24.09.2017;Adelsberger;Eric;1990;Kreiswahlvorschlag;Wahlkreis;014;Rostock – Landkreis Rostock II;Die PARTEI;
BT;24.09.2017;Adelsberger;Eric;1990;Landesliste;Land;;Mecklenburg-Vorpommern;Die PARTEI;1
BT;24.09.2017;Affani;Nadia;1976;Landesliste;Land;;Niedersachsen;SPD;34
BT;24.09.2017;Agena;Garrelt Itzen;1955;Kreiswahlvorschlag;Wahlkreis;024;Aurich – Emden;GRÜNE;
BT;24.09.2017;Agena;Garrelt Itzen;1955;Landesliste;Land;;Niedersachsen;GRÜNE;14
BT;24.09.2017;Aggelidis;Grigorios;1965;Kreiswahlvorschlag;Wahlkreis;043;Hannover-Land I;FDP;
BT;24.09.2017;Aggelidis;Grigorios;1965;Landesliste;Land;;Niedersachsen;FDP;3
BT;24.09.2017;Agu;Diyar;1999;Kreiswahlvorschlag;Wahlkreis;099;Oberbergischer Kreis;DIE LINKE;
BT;24.09.2017;Agu;Diyar;1999;Landesliste;Land;;Nordrhein-Westfalen;DIE LINKE;24
BT;24.09.2017;Ahrends;Marco;1982;Landesliste;Land;;Berlin;Die PARTEI;41
BT;24.09.2017;Ahrens;Martin;1977;Landesliste;Land;;Schleswig-Holstein;SPD;13
BT;24.09.2017;Ahrens;Petra;1969;Landesliste;Land;;Bayern;DM;5
BT;24.09.2017;Ahrens;Thorsten;1968;Kreiswahlvorschlag;Wahlkreis;157;Görlitz;DIE LINKE;
BT;24.09.2017;Aicher;Julian;1958;Landesliste;Land;;Baden-Württemberg;ÖDP;9
BT;24.09.2017;Aiwanger;Hubert;1971;Kreiswahlvorschlag;Wahlkreis;228;Landshut;FREIE WÄHLER;
BT;24.09.2017;Aiwanger;Hubert;1971;Landesliste;Land;;Bayern;FREIE WÄHLER;1
BT;24.09.2017;Akbulut;Gökay;1982;Kreiswahlvorschlag;Wahlkreis;275;Mannheim;DIE LINKE;
BT;24.09.2017;Akbulut;Gökay;1982;Landesliste;Land;;Baden-Württemberg;DIE LINKE;3
BT;24.09.2017;Akcur;Mehmet;1975;Landesliste;Land;;Niedersachsen;DiB;3
BT;24.09.2017;Aktürk;Erhan;1965;Landesliste;Land;;Nordrhein-Westfalen;MLPD;2
BT;24.09.2017;Al Basri;Saif;1989;Landesliste;Land;;Nordrhein-Westfalen;Gesundheitsforschung;3
BT;24.09.2017;Al Dailami;Ali Abass Yahya;1981;Kreiswahlvorschlag;Wahlkreis;173;Gießen;DIE LINKE;
BT;24.09.2017;Dr. Albach;Rolf William;1963;Kreiswahlvorschlag;Wahlkreis;101;Leverkusen – Köln IV;FDP;
BT;24.09.2017;Dr. Albach;Rolf William;1963;Landesliste;Land;;Nordrhein-Westfalen;FDP;26
BT;24.09.2017;Albani;Stephan;1968;Kreiswahlvorschlag;Wahlkreis;027;Oldenburg – Ammerland;CDU;
BT;24.09.2017;Albani;Stephan;1968;Landesliste;Land;;Niedersachsen;CDU;6
BT;24.09.2017;Albers;Bernhard;1969;Landesliste;Land;;Baden-Württemberg;BGE;5
BT;24.09.2017;Albert;Joachim;1958;Landesliste;Land;;Rheinland-Pfalz;FREIE WÄHLER;20
BT;24.09.2017;Alberti;Manfred;1947;Landesliste;Land;;Hamburg;Die PARTEI;19
BT;24.09.2017;Albrecht;Frank;1967;Kreiswahlvorschlag;Wahlkreis;116;Duisburg II;FDP;
BT;24.09.2017;Albrecht;Frank;1967;Landesliste;Land;;Nordrhein-Westfalen;FDP;22
BT;24.09.2017;Prof. Albrecht;Erich Willy;1950;Landesliste;Land;;Hessen;AfD;19
BT;24.09.2017;Albsteiger;Katrin;1983;Landesliste;Land;;Bayern;CSU;29
BT;24.09.2017;Aldenhoven;Christina Flora;1983;Landesliste;Land;;Nordrhein-Westfalen;ÖDP;3
BT;24.09.2017;Alff;Daniel;1977;Landesliste;Land;;Mecklenburg-Vorpommern;SPD;8
BT;24.09.2017;Al-Hassan;Fares;1978;Kreiswahlvorschlag;Wahlkreis;083;Berlin-Friedrichshain-Kreuzberg – Prenzlauer Berg Ost;B*;
BT;24.09.2017;Alias;Mazhar Hasan;1974;Kreiswahlvorschlag;Wahlkreis;125;Bottrop – Recklinghausen III;MLPD;
BT;24.09.2017;Alias;Mazhar Hasan;1974;Landesliste;Land;;Nordrhein-Westfalen;MLPD;13
BT;24.09.2017;Allgayer-Reetze;Patricia Erika;1956;Landesliste;Land;;Niedersachsen;AfD;18
BT;24.09.2017;Alloussi;Dyria;1980;Landesliste;Land;;Berlin;du.;4
BT;24.09.2017;Alscher;Sebastian;1976;Kreiswahlvorschlag;Wahlkreis;183;Frankfurt am Main II;PIRATEN;
BT;24.09.2017;Alscher;Sebastian;1976;Landesliste;Land;;Hessen;PIRATEN;1
BT;24.09.2017;Alt;Renata;1965;Kreiswahlvorschlag;Wahlkreis;262;Nürtingen;FDP;
BT;24.09.2017;Alt;Renata;1965;Landesliste;Land;;Baden-Württemberg;FDP;7
BT;24.09.2017;Altenkamp;Norbert Maria;1972;Kreiswahlvorschlag;Wahlkreis;181;Main-Taunus;CDU;
BT;24.09.2017;Altenkamp;Norbert Maria;1972;Landesliste;Land;;Hessen;CDU;21
BT;24.09.2017;Altmaier;Peter;1958;Kreiswahlvorschlag;Wahlkreis;297;Saarlouis;CDU;
BT;24.09.2017;Altmaier;Peter;1958;Landesliste;Land;;Saarland;CDU;1
BT;24.09.2017;Altmann;Peter;1969;Landesliste;Land;;Baden-Württemberg;Die PARTEI;13
BT;24.09.2017;Amann;Harold;1967;Landesliste;Land;;Bayern;BP;2
BT;24.09.2017;Amann;Dieter;1962;Kreiswahlvorschlag;Wahlkreis;278;Bruchsal – Schwetzingen;AfD;
BT;24.09.2017;Ametsbichler;Tobias;1970;Landesliste;Land;;Bayern;DiB;8
BT;24.09.2017;Ammermann;Rainer;1971;Landesliste;Land;;Hamburg;BGE;1
BT;24.09.2017;Amoozegar;Nick Papak;1990;Kreiswahlvorschlag;Wahlkreis;174;Fulda;DIE LINKE;
BT;24.09.2017;Amoozegar;Nick Papak;1990;Landesliste;Land;;Hessen;DIE LINKE;6
BT;24.09.2017;Amthor;Philipp;1992;Kreiswahlvorschlag;Wahlkreis;016;Mecklenburgische Seenplatte I – Vorpommern-Greifswald II;CDU;
BT;24.09.2017;Amthor;Philipp;1992;Landesliste;Land;;Mecklenburg-Vorpommern;CDU;6
BT;24.09.2017;Amtsberg;Luise;1984;Kreiswahlvorschlag;Wahlkreis;005;Kiel;GRÜNE;
BT;24.09.2017;Amtsberg;Luise;1984;Landesliste;Land;;Schleswig-Holstein;GRÜNE;1
BT;24.09.2017;Anders;Kathrin;1982;Kreiswahlvorschlag;Wahlkreis;177;Wetterau I;GRÜNE;
BT;24.09.2017;Anderson;Christine;1968;Kreiswahlvorschlag;Wahlkreis;178;Rheingau-Taunus – Limburg;AfD;
BT;24.09.2017;Anderson;Christine;1968;Landesliste;Land;;Hessen;AfD;12
BT;24.09.2017;Andre;Harald;1949;Kreiswahlvorschlag;Wahlkreis;258;Stuttgart I;MLPD;
BT;24.09.2017;Andre;Harald;1949;Landesliste;Land;;Baden-Württemberg;MLPD;4
BT;24.09.2017;Andreae;Kerstin;1968;Kreiswahlvorschlag;Wahlkreis;281;Freiburg;GRÜNE;
BT;24.09.2017;Andreae;Kerstin;1968;Landesliste;Land;;Baden-Württemberg;GRÜNE;1
BT;24.09.2017;Andrejewski;Michael;1959;Kreiswahlvorschlag;Wahlkreis;016;Mecklenburgische Seenplatte I – Vorpommern-Greifswald II;NPD;
BT;24.09.2017;Andrejewski;Michael;1959;Landesliste;Land;;Mecklenburg-Vorpommern;NPD;2
BT;24.09.2017;Angenendt;Jürgen;1958;Landesliste;Land;;Nordrhein-Westfalen;SPD;71
BT;24.09.2017;von Angern;Eva;1976;Kreiswahlvorschlag;Wahlkreis;069;Magdeburg;DIE LINKE;
BT;24.09.2017;von Angern;Eva;1976;Landesliste;Land;;Sachsen-Anhalt;DIE LINKE;5
BT;24.09.2017;Angerstein;Nicole;1973;Landesliste;Land;;Sachsen-Anhalt;MG;2
BT;24.09.2017;Prinz von Anhalt Dessau;Constantin Leopold;1947;Kreiswahlvorschlag;Wahlkreis;223;Bad Tölz-Wolfratshausen – Miesbach;AfD;
BT;24.09.2017;Anhorn;Jens;1980;Landesliste;Land;;Baden-Württemberg;AfD;15
BT;24.09.2017;Annen;Niels;1973;Kreiswahlvorschlag;Wahlkreis;020;Hamburg-Eimsbüttel;SPD;
BT;24.09.2017;Annen;Niels;1973;Landesliste;Land;;Hamburg;SPD;4
BT;24.09.2017;Anschütz;Elisabeth;1962;Kreiswahlvorschlag;Wahlkreis;097;Rhein-Sieg-Kreis I;GRÜNE;
BT;24.09.2017;Anschütz;Elisabeth;1962;Landesliste;Land;;Nordrhein-Westfalen;GRÜNE;27
BT;24.09.2017;Ansin;Rebecca;1989;Landesliste;Land;;Baden-Württemberg;Die PARTEI;19
BT;24.09.2017;Anspach-Papa;Kornelia;1961;Landesliste;Land;;Saarland;CDU;6
BT;24.09.2017;Antrup;Carsten;1969;Kreiswahlvorschlag;Wahlkreis;128;Steinfurt III;FDP;
BT;24.09.2017;Antrup;Carsten;1969;Landesliste;Land;;Nordrhein-Westfalen;FDP;27
BT;24.09.2017;Apel;Rainer Karl-Heinz Hans-Helmut;1948;Landesliste;Land;;Hessen;BüSo;5
BT;24.09.2017;Dr. Appelt;Andreas Michael Otto;1951;Kreiswahlvorschlag;Wahlkreis;148;Siegen-Wittgenstein;AfD;
BT;24.09.2017;Applegate;Philipp;1988;Landesliste;Land;;Nordrhein-Westfalen;DIE LINKE;28
BT;24.09.2017;Appoh;Mark Adrian;1985;Landesliste;Land;;Hessen;BGE;4
BT;24.09.2017;Araki;Chaker;1972;Kreiswahlvorschlag;Wahlkreis;078;Berlin-Spandau – Charlottenburg Nord;MLPD;
BT;24.09.2017;Araki;Chaker;1972;Landesliste;Land;;Berlin;MLPD;2
BT;24.09.2017;Archner;Roman;1980;Kreiswahlvorschlag;Wahlkreis;081;Berlin-Tempelhof-Schöneberg;Die PARTEI;
BT;24.09.2017;Archner;Roman;1980;Landesliste;Land;;Berlin;Die PARTEI;68
BT;24.09.2017;Arend-Langenbach;Kerstin;1971;Landesliste;Land;;Rheinland-Pfalz;CDU;21
BT;24.09.2017;Arens;Marianne;1952;Kreiswahlvorschlag;Wahlkreis;182;Frankfurt am Main I;SGP;
BT;24.09.2017;Arenz;Udo Peter;1964;Landesliste;Land;;Hessen;ÖDP;2
BT;24.09.2017;Aretz;Henning;1956;Landesliste;Land;;Nordrhein-Westfalen;CDU;59
BT;24.09.2017;Arifi;Krenar;1964;Landesliste;Land;;Bayern;V-Partei³;32
BT;24.09.2017;Armbrüster;Ralf;1970;Landesliste;Land;;Saarland;FDP;10
BT;24.09.2017;Arndt;Hans;1957;Kreiswahlvorschlag;Wahlkreis;207;Ludwigshafen/Frankenthal;FREIE WÄHLER;
BT;24.09.2017;Arndt;Hans;1957;Landesliste;Land;;Rheinland-Pfalz;FREIE WÄHLER;9
BT;24.09.2017;Arndt;Klaus Joachim;1966;Landesliste;Land;;Niedersachsen;ÖDP;3
BT;24.09.2017;Arndt;Helena;1982;Landesliste;Land;;Niedersachsen;Die PARTEI;2
BT;24.09.2017;Arndt;Alfred Jakob;1949;Landesliste;Land;;Hessen;DKP;15
BT;24.09.2017;Arndt-Brauer;Ingrid;1961;Kreiswahlvorschlag;Wahlkreis;124;Steinfurt I – Borken I;SPD;
BT;24.09.2017;Arndt-Brauer;Ingrid;1961;Landesliste;Land;;Nordrhein-Westfalen;SPD;14
BT;24.09.2017;Arnecke;Dagmar;1951;Kreiswahlvorschlag;Wahlkreis;086;Berlin-Lichtenberg;MLPD;
BT;24.09.2017;Arnold;Alexander;1991;Kreiswahlvorschlag;Wahlkreis;238;Coburg;FDP;
BT;24.09.2017;Arnold;Alexander;1991;Landesliste;Land;;Bayern;FDP;46
BT;24.09.2017;Arnold;Bendrick;1946;Kreiswahlvorschlag;Wahlkreis;247;Aschaffenburg;MLPD;
BT;24.09.2017;Arnold;Bendrick;1946;Landesliste;Land;;Bayern;MLPD;17
BT;24.09.2017;Arpaschi;Alexander;1970;Kreiswahlvorschlag;Wahlkreis;272;Karlsruhe-Land;AfD;
BT;24.09.2017;Aschenbach;Maximilian Bernd;1985;Landesliste;Land;;Sachsen;Die PARTEI;6
BT;24.09.2017;Aschenberg-Dugnus;Christine;1959;Kreiswahlvorschlag;Wahlkreis;004;Rendsburg-Eckernförde;FDP;
BT;24.09.2017;Aschenberg-Dugnus;Christine;1959;Landesliste;Land;;Schleswig-Holstein;FDP;3
BT;24.09.2017;Dr. Aschenbrenner;Doris;1985;Kreiswahlvorschlag;Wahlkreis;238;Coburg;SPD;
BT;24.09.2017;Dr. Aschenbrenner;Doris;1985;Landesliste;Land;;Bayern;SPD;28
BT;24.09.2017;Aschenbrenner;Arnold;1951;Kreiswahlvorschlag;Wahlkreis;216;Ingolstadt;MLPD;
BT;24.09.2017;Assenmacher;Adrian;1989;Kreiswahlvorschlag;Wahlkreis;203;Trier;FDP;
BT;24.09.2017;Assenmacher;Adrian;1989;Landesliste;Land;;Rheinland-Pfalz;FDP;14
BT;24.09.2017;Aßmann;Mario;1964;Landesliste;Land;;Sachsen;AfD;17
BT;24.09.2017;Ates;Özden;1970;Kreiswahlvorschlag;Wahlkreis;115;Duisburg I;DIE LINKE;
BT;24.09.2017;Ates;Özden;1970;Landesliste;Land;;Nordrhein-Westfalen;DIE LINKE;21
BT;24.09.2017;Ates;Zeki;1962;Kreiswahlvorschlag;Wahlkreis;282;Lörrach – Müllheim;EB: Ates;
BT;24.09.2017;Auerbach;Kerstin;1969;Kreiswahlvorschlag;Wahlkreis;067;Börde – Jerichower Land;DIE LINKE;
BT;24.09.2017;Auerbach;Martin;1976;Kreiswahlvorschlag;Wahlkreis;261;Esslingen;DIE LINKE;
BT;24.09.2017;Auernhammer;Artur;1963;Kreiswahlvorschlag;Wahlkreis;241;Ansbach;CSU;
BT;24.09.2017;Auernhammer;Artur;1963;Landesliste;Land;;Bayern;CSU;38
BT;24.09.2017;Augspurger;Helmut;1956;Landesliste;Land;;Baden-Württemberg;Die PARTEI;21
BT;24.09.2017;Augustin;Dennis;1970;Kreiswahlvorschlag;Wahlkreis;012;Schwerin – Ludwigslust-Parchim I – Nordwestmecklenburg I;AfD;
BT;24.09.2017;Augustin;Dennis;1970;Landesliste;Land;;Mecklenburg-Vorpommern;AfD;4
BT;24.09.2017;Aulenbacher;Susanne;1958;Landesliste;Land;;Saarland;MLPD;2
BT;24.09.2017;Aulila;Marcel;1991;Kreiswahlvorschlag;Wahlkreis;285;Rottweil – Tuttlingen;FDP;
BT;24.09.2017;Aulila;Marcel;1991;Landesliste;Land;;Baden-Württemberg;FDP;17
BT;24.09.2017;Aumeier;Frank;1975;Kreiswahlvorschlag;Wahlkreis;234;Schwandorf;FREIE WÄHLER;
BT;24.09.2017;Aumeier;Frank;1975;Landesliste;Land;;Bayern;FREIE WÄHLER;11
BT;24.09.2017;Aumer;Peter;1976;Kreiswahlvorschlag;Wahlkreis;233;Regensburg;CSU;
BT;24.09.2017;Auricht;Jeannette;1970;Kreiswahlvorschlag;Wahlkreis;085;Berlin-Marzahn-Hellersdorf;AfD;
BT;24.09.2017;Außendorf;Maik;1971;Kreiswahlvorschlag;Wahlkreis;100;Rheinisch-Bergischer Kreis;GRÜNE;
