Gruppenschluessel;Gruppenart_XML;Gruppenart_CSV;Gruppenname_kurz;Gruppenname_lang
100;SYSTEM_GRUPPE;System-Gruppe;Wahlberechtigte;Wahlberechtigte
200;SYSTEM_GRUPPE;System-Gruppe;Wählende;Wählende
300;SYSTEM_GRUPPE;System-Gruppe;Ungültige;Ungültige Stimmen
400;SYSTEM_GRUPPE;System-Gruppe;Gültige;Gültige Stimmen
2;PARTEI;Partei;CDU;Christlich Demokratische Union Deutschlands
1;PARTEI;Partei;SPD;Sozialdemokratische Partei Deutschlands
35;PARTEI;Partei;AfD;Alternative für Deutschland
4;PARTEI;Partei;FDP;Freie Demokratische Partei
34;PARTEI;Partei;DIE LINKE;DIE LINKE
5;PARTEI;Partei;GRÜNE;BÜNDNIS 90/DIE GRÜNEN
3;PARTEI;Partei;CSU;Christlich-Soziale Union in Bayern e.V.
45;PARTEI;Partei;FREIE WÄHLER;FREIE WÄHLER
37;PARTEI;Partei;Die PARTEI;Partei für Arbeit, Rechtsstaat, Tierschutz, Elitenförderung und basisdemokratische Initiative
9;PARTEI;Partei;Tierschutzpartei;PARTEI MENSCH UMWELT TIERSCHUTZ
21;PARTEI;Partei;HEIMAT (2021: NPD);Die Heimat (2021: Nationaldemokratische Partei Deutschlands)
8;PARTEI;Partei;PIRATEN;Piratenpartei Deutschland
22;PARTEI;Partei;ÖDP;Ökologisch-Demokratische Partei
20;PARTEI;Partei;V-Partei³;V-Partei³ - Partei für Veränderung, Vegetarier und Veganer
24;PARTEI;Partei;DiB;DEMOKRATIE IN BEWEGUNG
18;PARTEI;Partei;BP;Bayernpartei
10;PARTEI;Partei;Tierschutzallianz;Allianz für Menschenrechte, Tier- und Naturschutz
17;PARTEI;Partei;MLPD;Marxistisch-Leninistische Partei Deutschlands
33;PARTEI;Partei;Verjüngungsforschung (2021: Gesundheitsforschung);Partei für schulmedizinische Verjüngungsforschung (2021: Partei für Gesundheitsforschung)
27;PARTEI;Partei;MENSCHLICHE WELT;Menschliche Welt - für das Wohl und Glücklichsein aller
11;PARTEI;Partei;DKP;Deutsche Kommunistische Partei
43;PARTEI;Partei;Die Grauen;Die Grauen – Für alle Generationen
12;PARTEI;Partei;BüSo;Bürgerrechtsbewegung Solidarität
44;PARTEI;Partei;Die Humanisten;Partei der Humanisten
19;PARTEI;Partei;Gartenpartei;Gartenpartei
42;PARTEI;Partei;du.;Die Urbane. Eine HipHop Partei
15;PARTEI;Partei;SGP;Sozialistische Gleichheitspartei, Vierte Internationale
63;PARTEI;Partei;dieBasis;Basisdemokratische Partei Deutschland
32;PARTEI;Partei;Bündnis C;Bündnis C - Christen für Deutschland
69;PARTEI;Partei;BÜRGERBEWEGUNG;Bürgerbewegung für Fortschritt und Wandel
52;PARTEI;Partei;III. Weg;DER DRITTE WEG
65;PARTEI;Partei;BÜNDNIS21;diePinken/BÜNDNIS21
60;PARTEI;Partei;LIEBE;Europäische Partei LIEBE
66;PARTEI;Partei;Wir Bürger (2021: LKR);Wir Bürger (2021: Liberal-Konservative Reformer)
84;PARTEI;Partei;PdF;Partei des Fortschritts
68;PARTEI;Partei;LfK;>> Partei für Kinder, Jugendliche und Familien <<  – Lobbyisten für Kinder –
59;PARTEI;Partei;SSW;Südschleswigscher Wählerverband
64;PARTEI;Partei;Team Todenhöfer;Team Todenhöfer – Die Gerechtigkeitspartei
16;PARTEI;Partei;UNABHÄNGIGE;UNABHÄNGIGE für bürgernahe Demokratie
57;PARTEI;Partei;Volt;Volt Deutschland
40;PARTEI;Partei;Volksabstimmung;Ab jetzt...Demokratie durch Volksabstimmung - Politik für die Menschen
26;PARTEI;Partei;B*;bergpartei, die überpartei - ökoanarchistisch-realdadaistisches sammelbecken
71;PARTEI;Partei;sonstige;DIE SONSTIGEN - X
31;PARTEI;Partei;FAMILIE;Familien-Partei Deutschlands
72;PARTEI;Partei;Graue Panther;Graue Panther
73;PARTEI;Partei;KlimalisteBW;Klimaliste Baden-Württemberg
76;PARTEI;Partei;THP;Thüringer Heimatpartei
553;EINZELBEWERBER;Einzelbewerber/Wählergruppe;EB: Böving;ADONIS
664;EINZELBEWERBER;Einzelbewerber/Wählergruppe;EB: Kunstmann;AKB
602;EINZELBEWERBER;Einzelbewerber/Wählergruppe;EB: Hemm;Aktion Bürger für Gerechtigkeit
512;EINZELBEWERBER;Einzelbewerber/Wählergruppe;EB: Dorn;Aktion Bürger für Gerechtigkeit
649;EINZELBEWERBER;Einzelbewerber/Wählergruppe;EB: Kolb;Aktion Bürger für Gerechtigkeit
588;EINZELBEWERBER;Einzelbewerber/Wählergruppe;EB: Martinschledde;Alle in EU
530;EINZELBEWERBER;Einzelbewerber/Wählergruppe;EB: Jagau;Andere Perspektiven
632;EINZELBEWERBER;Einzelbewerber/Wählergruppe;EB: Kalupner;Angela and I are here to create ...
568;EINZELBEWERBER;Einzelbewerber/Wählergruppe;EB: Podjaski;Artgerecht
515;EINZELBEWERBER;Einzelbewerber/Wählergruppe;EB: Asmus;ASMUSfddB
534;EINZELBEWERBER;Einzelbewerber/Wählergruppe;EB: Oschkinat;AufrechterDemokrat
548;EINZELBEWERBER;Einzelbewerber/Wählergruppe;EB: Hackel;AusUnsrerMitte
510;EINZELBEWERBER;Einzelbewerber/Wählergruppe;EB: Sonnabend;Bedingungsloses Grundeinkommen
509;EINZELBEWERBER;Einzelbewerber/Wählergruppe;EB: Nebeler;Bernd Nebeler
610;EINZELBEWERBER;Einzelbewerber/Wählergruppe;EB: Bibiella;BibiellaBTW
540;EINZELBEWERBER;Einzelbewerber/Wählergruppe;EB: Rosenbaum;BIBS
536;EINZELBEWERBER;Einzelbewerber/Wählergruppe;EB: Bilo;Bilo - für Mülheim nach Berlin
672;EINZELBEWERBER;Einzelbewerber/Wählergruppe;EB: Gabler;Bobby
641;EINZELBEWERBER;Einzelbewerber/Wählergruppe;EB: Brähmig;Brähmig
660;EINZELBEWERBER;Einzelbewerber/Wählergruppe;EB: Brehm;BRD braucht Brehm
508;EINZELBEWERBER;Einzelbewerber/Wählergruppe;EB: Hitzer;Bürger bewirbt sich als freier Direktkandidat
658;EINZELBEWERBER;Einzelbewerber/Wählergruppe;EB: Wetklo;Bürgerstimme
654;EINZELBEWERBER;Einzelbewerber/Wählergruppe;EB: Schlossbauer;CSB Carsten Schlossbauer
668;EINZELBEWERBER;Einzelbewerber/Wählergruppe;EB: Richter;Daniel Richter
511;EINZELBEWERBER;Einzelbewerber/Wählergruppe;EB: Gibanica;David Gibanica
638;EINZELBEWERBER;Einzelbewerber/Wählergruppe;EB: Roensch;Deas
642;EINZELBEWERBER;Einzelbewerber/Wählergruppe;EB: Demir;Demir
681;EINZELBEWERBER;Einzelbewerber/Wählergruppe;EB: Wolter;DEMOKRATIE FAIR UND DIREKT
647;EINZELBEWERBER;Einzelbewerber/Wählergruppe;EB: Commentz;Demokratie verteidigen
616;EINZELBEWERBER;Einzelbewerber/Wählergruppe;EB: Dönmez;Deutschland ist Önders
541;EINZELBEWERBER;Einzelbewerber/Wählergruppe;EB: Fritsch;Die Zukunft am Start
694;EINZELBEWERBER;Einzelbewerber/Wählergruppe;EB: Voß;Direkt – bürgerschaftlich – unabhängig
547;EINZELBEWERBER;Einzelbewerber/Wählergruppe;EB: Zimmet;Direktkandidat Daniel Zimmet
607;EINZELBEWERBER;Einzelbewerber/Wählergruppe;EB: Hannig;Direktkandidat Frank Hannig
600;EINZELBEWERBER;Einzelbewerber/Wählergruppe;EB: Kaun;Direktkandidat Ralf Kaun
673;EINZELBEWERBER;Einzelbewerber/Wählergruppe;EB: Schöllner;DK Schöllner
653;EINZELBEWERBER;Einzelbewerber/Wählergruppe;EB: Gust;DUD
659;EINZELBEWERBER;Einzelbewerber/Wählergruppe;EB: Opfer;DU1
